name, start_freq, end_freq

FISTS, 50058, 50058
DxCall, 50110, 50110
Xband, 50185, 50185
PSK, 50305, 50305
FMCall, 50510, 50510

FISTS, 70158, 70158
COA, 70200, 70200
AMCall, 70260, 70260

COA, 144050, 144050
FISTS, 144058, 144058
SKCC, 144070, 144070
DXCOA, 144300, 144300
FSK441, 144370, 144370
AMCall, 144550, 144550
FMCall, 145500, 145500
Uplink, 145200, 145200
Downlink, 145800, 145800

JT65EME, 432065, 432065
FMCall, 433500, 433500
DVCall, 438612.5, 438612.5
Emerg, 433700, 433700

